Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
299,Temple,18,8,10,.444,-2.84,0.93,,1,4,,4,3,,2,4,,1274,1308,,69.2,100.2,.319,.447,.488,49.0,46.4,11.1,7.2,.445,12.9,30.4,.235
300,Tennessee,17,13,4,.765,21.39,8.33,,3,1,,9,0,,2,2,,1344,1122,,70.8,111.6,.328,.412,.555,53.8,62.1,11.3,13.4,.515,13.7,33.9,.253
301,Tennessee State,18,9,9,.500,-8.28,-4.35,,2,3,,7,1,,1,7,,1374,1314,,71.7,105.8,.335,.369,.542,49.9,46.7,9.4,7.8,.503,15.7,30.9,.250
302,Tennessee Tech,18,7,11,.389,-12.90,-3.70,,2,3,,5,4,,2,7,,1269,1362,,69.2,101.1,.333,.375,.553,45.9,48.9,7.4,7.6,.520,15.7,17.0,.240
303,Tennessee-Martin,18,10,8,.556,-7.06,-3.92,,3,2,,6,2,,4,5,,1491,1428,,76.6,106.7,.302,.378,.548,51.4,46.4,8.8,6.6,.513,14.1,26.7,.227
304,Texas,16,12,4,.750,12.27,1.02,,1,2,,9,1,,1,2,,1243,1063,,69.5,111.7,.304,.341,.574,52.6,55.4,10.2,13.6,.544,15.8,32.2,.226
305,Texas A&M,17,10,7,.588,13.64,7.64,,1,3,,6,2,,2,3,,1272,1170,,67.1,110.7,.370,.387,.491,56.5,44.7,11.5,9.3,.447,11.6,44.2,.260
306,Texas A&M-Commerce,16,6,10,.375,-11.30,3.00,,0,3,,5,3,,1,7,,1182,1189,,70.7,102.9,.251,.476,.537,45.9,58.7,12.4,14.6,.514,15.4,25.7,.173
307,Texas A&M-Corpus Christi,17,10,7,.588,-7.26,-4.41,,3,1,,6,1,,4,5,,1309,1147,,72.9,105.6,.338,.308,.515,55.3,55.0,13.6,9.2,.480,14.0,35.6,.234
308,Texas Southern,14,3,11,.214,-11.55,2.61,,1,2,,1,2,,1,8,,894,1042,,70.2,90.9,.234,.357,.450,47.0,47.0,9.7,11.5,.423,14.4,28.9,.153
309,Texas State,17,7,10,.412,-5.42,0.91,,1,4,,3,2,,4,6,,1192,1196,,68.5,102.4,.350,.267,.518,51.9,50.3,9.5,9.9,.489,16.4,34.3,.230
310,Texas Tech,16,14,2,.875,14.76,1.95,,3,0,,10,0,,1,1,,1242,1037,,66.7,115.4,.342,.408,.576,52.8,55.6,9.1,9.6,.537,13.6,32.4,.266
311,Texas-Rio Grande Valley,17,6,11,.353,-10.33,-0.93,,2,4,,5,3,,1,6,,1282,1353,,75.4,98.5,.459,.305,.524,47.1,54.3,11.9,9.1,.481,17.6,28.1,.314
312,The Citadel,17,8,9,.471,-3.41,-2.48,,0,4,,4,4,,2,5,,1228,1165,,67.0,107.9,.322,.349,.551,53.9,43.2,7.7,8.1,.520,15.0,30.7,.232
313,Toledo,17,11,6,.647,2.35,0.46,,5,0,,7,2,,4,1,,1344,1312,,70.3,112.4,.353,.274,.568,50.0,46.7,10.5,6.7,.527,13.8,30.8,.272
314,Towson,17,9,8,.529,-1.68,-0.12,,2,2,,7,0,,2,3,,1124,1098,,62.7,103.2,.377,.347,.499,56.4,44.8,10.0,12.4,.469,16.4,41.8,.237
315,Troy,17,11,6,.647,1.27,-1.87,,5,0,,10,1,,1,5,,1384,1183,,72.1,110.5,.368,.410,.549,54.3,55.1,13.6,8.3,.511,16.1,37.9,.270
316,Tulane,16,11,5,.688,7.47,0.40,,2,2,,8,2,,2,1,,1395,1259,,74.8,113.9,.483,.375,.609,46.1,50.7,12.7,10.8,.570,13.7,19.6,.358
317,Tulsa,16,9,7,.563,0.43,-4.17,,0,4,,9,2,,0,4,,1221,1111,,72.2,104.0,.418,.415,.544,49.2,49.3,11.9,9.1,.499,16.7,28.6,.304
318,UAB,16,10,6,.625,-0.99,0.55,,2,1,,6,3,,3,2,,1233,1220,,69.2,109.7,.414,.313,.531,52.7,47.4,10.0,12.0,.480,13.7,36.6,.310
319,UC Davis,17,10,7,.588,1.49,-2.71,,5,1,,7,3,,2,4,,1264,1143,,69.0,106.2,.407,.389,.562,51.2,52.6,10.9,10.3,.528,17.9,32.0,.287
320,UC Irvine,17,12,5,.706,8.60,1.23,,5,0,,6,0,,3,5,,1308,1130,,69.5,109.9,.330,.278,.566,54.1,58.8,8.8,9.0,.533,15.4,31.5,.243
321,UC Riverside,18,7,11,.389,-5.57,0.86,,2,4,,6,2,,0,9,,1240,1290,,67.6,101.9,.260,.426,.488,50.9,55.1,8.1,3.8,.457,11.9,31.2,.183
