Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
291,Stanford,13,7,6,.538,9.42,4.89,,2,1,,6,2,,1,1,,1016,957,,530,360,846,.426,100,306,.327,137,194,.706,135,471,152,86,30,145,218
292,Stephen F. Austin,13,8,5,.615,1.71,-2.38,,1,1,,4,2,,2,2,,1015,885,,530,286,723,.396,83,242,.343,230,322,.714,132,420,130,116,42,244,261
293,Stetson,14,8,6,.571,-3.29,2.35,,,,,4,0,,2,6,,1100,982,,560,360,875,.411,107,351,.305,155,223,.695,177,495,208,86,37,142,215
294,Stonehill,15,2,13,.133,-19.04,0.96,,,,,2,2,,0,11,,953,1206,,600,424,957,.443,166,461,.360,192,261,.736,194,628,266,116,76,184,208
295,Stony Brook,13,7,6,.538,-6.45,-1.29,,,,,6,1,,1,5,,929,950,,525,350,797,.439,125,339,.369,125,178,.702,140,490,205,85,36,159,209
296,Syracuse,14,10,4,.714,9.80,7.11,,1,2,,7,0,,1,2,,1085,1001,,560,369,869,.425,103,332,.310,160,237,.675,166,528,194,99,39,210,215
297,Tarleton State,13,9,4,.692,-0.99,0.51,,2,0,,4,1,,3,3,,922,822,,520,288,695,.414,85,266,.320,161,247,.652,144,436,157,81,54,198,217
298,TCU,13,11,2,.846,14.51,-4.80,,,,,7,0,,2,0,,1115,864,,520,308,744,.414,80,260,.308,168,251,.669,123,400,161,94,43,220,234
299,Temple,13,7,6,.538,-2.37,-0.62,,,,,3,2,,2,1,,961,952,,535,338,785,.431,98,304,.322,178,235,.757,135,515,181,80,43,178,235
300,Tennessee,13,10,3,.769,20.96,7.42,,,,,7,0,,1,1,,1012,836,,520,279,749,.372,84,290,.290,194,282,.688,135,449,137,85,33,176,233
301,Tennessee State,15,8,7,.533,-7.72,-2.45,,1,1,,6,1,,1,5,,1164,1107,,605,379,882,.430,108,306,.353,241,327,.737,171,550,179,96,60,218,256
302,Tennessee Tech,15,5,10,.333,-13.53,-2.03,,0,2,,4,4,,1,6,,1069,1162,,605,436,945,.461,128,357,.359,162,217,.747,135,553,236,99,53,149,237
303,Tennessee-Martin,15,9,6,.600,-5.70,-2.70,,2,0,,5,0,,4,5,,1278,1204,,610,437,1055,.414,143,452,.316,187,254,.736,168,598,221,115,63,178,242
304,Texas,13,11,2,.846,13.33,-1.52,,,,,9,0,,0,1,,1029,836,,520,299,762,.392,79,247,.320,159,231,.688,148,442,136,89,47,175,225
305,Texas A&M,13,9,4,.692,16.39,6.85,,,,,5,1,,2,1,,990,866,,520,297,718,.414,108,309,.350,164,229,.716,128,412,171,67,62,160,250
306,Texas A&M-Commerce,13,6,7,.462,-10.43,6.87,,,,,5,1,,1,6,,965,959,,530,343,775,.443,88,271,.325,185,260,.712,147,493,161,75,34,184,171
307,Texas A&M-Corpus Christi,13,7,6,.538,-8.64,-0.75,,,,,5,1,,2,4,,1000,872,,530,275,684,.402,79,276,.286,243,339,.717,100,438,161,91,50,219,245
308,Texas Southern,11,2,9,.182,-10.74,6.86,,,,,1,1,,0,7,,722,862,,440,292,644,.453,95,265,.358,183,262,.698,131,460,163,73,54,132,155
309,Texas State,13,6,7,.462,-4.64,3.81,,0,1,,3,0,,3,5,,905,907,,520,319,745,.428,74,254,.291,195,274,.712,143,443,151,92,49,163,232
310,Texas Tech,13,11,2,.846,13.06,-0.48,,,,,8,0,,0,1,,1014,838,,525,310,762,.407,96,311,.309,122,182,.670,134,416,140,79,53,163,216
311,Texas-Rio Grande Valley,13,4,9,.308,-13.74,-0.93,,0,2,,3,2,,1,5,,958,1029,,520,362,798,.454,94,257,.366,211,278,.759,156,523,211,110,67,208,271
312,The Citadel,14,8,6,.571,-2.87,-4.51,,0,1,,4,2,,2,4,,1025,931,,560,348,838,.415,98,314,.312,137,179,.765,125,452,173,79,58,144,242
313,Toledo,13,7,6,.538,2.59,2.75,,1,0,,4,2,,3,1,,1033,1035,,520,387,775,.499,101,279,.362,160,213,.751,130,442,184,81,43,181,239
314,Towson,13,7,6,.538,-1.18,0.57,,,,,5,0,,2,1,,882,852,,530,304,698,.436,84,249,.337,160,226,.708,110,382,160,94,52,151,224
315,Troy,13,7,6,.538,-4.45,-3.95,,1,0,,6,1,,1,5,,1071,919,,535,317,749,.423,84,251,.335,201,298,.674,132,438,145,108,57,200,245
316,Tulane,13,10,3,.769,6.76,-2.74,,1,0,,8,1,,1,0,,1161,1017,,530,362,848,.427,125,373,.335,168,235,.715,160,491,200,88,36,206,281
317,Tulsa,12,9,3,.750,0.68,-7.68,,,,,9,0,,0,2,,926,793,,485,288,736,.391,78,275,.284,139,225,.618,156,465,142,84,31,187,247
318,UAB,14,9,5,.643,-2.76,-1.69,,1,0,,5,3,,3,1,,1085,1063,,570,383,850,.451,109,313,.348,188,260,.723,157,477,196,97,65,166,265
