Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
63,Cornell,0.8,4.2,-1.87,0.0529999999999999,21,0.0,0.1079999999999999,7,0,0,0,0,0,0,0,1.0,1.0,0.625,0.4666666666666667,1.4,2.2,-2.2666666666666666,2.2,0.3333333333333333,-2.533333333333333,0.4666666666666667,3.6,1.0,-0.7333333333333333,-0.7333333333333333,0.4
64,Creighton,0.765,20.47,6.11,0.082,190,0.0579999999999999,0.015,14,0,0,0,0,1,0,0,0.6666666666666666,0.8888888888888888,0.6666666666666666,5.0588235294117645,11.176470588235293,2.2941176470588234,-6.352941176470588,4.705882352941177,6.0588235294117645,-0.35294117647058826,7.764705882352941,6.529411764705882,-2.8823529411764706,1.411764705882353,3.235294117647059,-3.823529411764706
65,Dartmouth,0.267,-14.84,-1.3,-0.0429999999999999,24,-0.0819999999999999,-0.004,-9,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.0,-1.4666666666666666,1.6,-4.333333333333333,-4.533333333333333,1.5333333333333334,2.2666666666666666,-0.5333333333333333,-1.1333333333333333,-1.3333333333333333,-2.6,0.4,2.3333333333333335,-2.066666666666667
66,Davidson,0.625,2.45,1.38,0.011,20,-0.0139999999999999,0.0549999999999999,4,0,0,0,0,0,0,0,0.0,0.7777777777777778,0.25,0.0625,1.25,0.5625,-0.1875,3.375,3.5625,0.5625,1.0,0.0,0.8125,-0.4375,-1.125,-2.5
67,Dayton,0.875,14.26,5.64,0.063,37,0.073,0.036,8,0,0,0,0,0,0,0,1.0,1.0,0.75,2.5,2.3125,-0.1875,-8.4375,6.5,8.25,-3.375,0.375,2.375,-0.3125,1.8125,0.25,-3.6875
68,Delaware,0.588,1.32,-2.81,0.039,-26,0.023,0.003,5,0,0,0,0,0,0,0,0.5,0.6,0.625,0.0,-1.5294117647058822,2.5294117647058822,0.4117647058823529,0.7647058823529411,1.0,-0.23529411764705882,1.6470588235294117,2.588235294117647,0.4117647058823529,-1.2352941176470589,-0.7647058823529411,0.4117647058823529
69,Delaware State,0.5,-11.33,-5.21,-0.013,-153,-0.087,0.029,-1,0,0,0,0,0,0,0,1.0,0.6666666666666666,0.3333333333333333,-4.555555555555555,-8.5,1.0,3.9444444444444446,1.5555555555555556,1.3888888888888888,3.388888888888889,5.333333333333333,-1.2777777777777777,1.3333333333333333,-0.6666666666666666,-0.3333333333333333,-1.6111111111111112
70,Denver,0.611,0.62,-1.89,0.01,14,0.0399999999999999,0.043,7,0,0,0,0,0,0,0,0.6666666666666666,0.875,0.375,1.1666666666666667,0.7777777777777778,-0.5,-2.4444444444444446,7.055555555555555,8.444444444444445,0.5,2.0555555555555554,0.5,0.5555555555555556,-0.8888888888888888,-0.8888888888888888,-4.555555555555555
71,DePaul,0.188,-4.6,6.96,-0.0379999999999999,-50,-0.016,0.0,-12,0,0,0,0,1,0,0,0.0,0.3,0.0,-1.4375,-3.125,-5.0625,-6.5625,0.0,0.0,-3.5625,-5.5,-1.6875,-2.1875,0.375,2.875,-1.625
72,Detroit Mercy,0.0,-18.28,-1.22,-0.0879999999999999,-13,-0.129,-0.033,-18,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.9444444444444446,-0.7222222222222222,-6.0,-2.2222222222222223,-2.111111111111111,-2.111111111111111,-1.5555555555555556,-6.388888888888889,-5.944444444444445,-0.2222222222222222,-1.0555555555555556,2.5555555555555554,1.4444444444444444
