Rk,School,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
113,Holy Cross,66.1,-16.900000000000006,-0.049,0.011,-0.0499999999999999,-4.400000000000006,-3.6000000000000014,-5.199999999999999,-4.9,-0.036,4.999999999999998,-3.6000000000000014,-0.065
114,Houston,64.7,41.10000000000001,-0.059,-0.0549999999999999,0.088,12.200000000000005,-11.6,9.8,13.5,0.1009999999999999,-13.1,13.5,-0.0219999999999999
115,Houston Christian,76.7,-17.60000000000001,0.0169999999999999,-0.12,-0.07,0.7999999999999972,-14.0,-4.800000000000001,-3.6999999999999993,-0.067,6.200000000000001,1.6999999999999993,-0.015
116,Howard,70.9,-2.299999999999997,0.006,0.02,0.0239999999999999,1.2000000000000028,1.7999999999999972,-2.1000000000000014,-2.5,0.019,4.1,-1.0,0.021
117,Idaho,67.1,2.799999999999997,-0.085,0.0299999999999999,0.005,-1.0,-4.5,0.6000000000000014,2.1999999999999997,0.009,-1.5,-1.1000000000000014,-0.052
118,Idaho State,65.9,-0.5999999999999943,-0.012,0.06,0.001,3.0,1.6000000000000014,-0.1999999999999993,3.1,0.01,1.1999999999999993,3.299999999999997,-0.0239999999999999
119,Illinois,71.6,25.700000000000003,0.093,0.1119999999999999,0.1279999999999999,16.0,3.299999999999997,-3.4000000000000004,1.6000000000000014,0.13,2.6,12.6,0.075
120,Illinois State,68.1,-0.6999999999999886,0.074,0.024,-0.019,3.5999999999999943,-1.5,0.0,-2.200000000000001,-0.024,0.200000000000001,5.199999999999999,0.041
121,Illinois-Chicago,68.5,9.800000000000011,-0.077,0.0969999999999999,0.073,1.2000000000000028,16.4,-2.1999999999999997,8.0,0.103,1.3000000000000007,-1.400000000000002,-0.0779999999999999
122,Incarnate Word,73.8,-2.9000000000000057,-0.0369999999999999,0.0509999999999999,0.009,-1.5999999999999943,-3.0,-1.1999999999999993,-0.8999999999999986,0.011,3.9,-2.3000000000000007,-0.02
123,Indiana,70.7,2.200000000000003,0.167,-0.173,0.0379999999999999,3.4000000000000057,1.8000000000000045,-2.6,5.1000000000000005,0.039,2.200000000000001,0.1000000000000014,0.098
124,Indiana State,73.3,20.5,0.1119999999999999,0.1639999999999999,0.124,1.4000000000000057,19.9,1.299999999999999,-8.0,0.128,-1.400000000000002,-4.0,0.0929999999999999
125,Iona,69.0,0.9000000000000057,-0.1119999999999999,-0.0389999999999999,-0.033,-3.0,-2.5,4.199999999999999,-2.700000000000001,-0.023,-4.4,-0.6999999999999993,-0.09
126,Iowa,75.5,12.100000000000009,0.037,-0.0459999999999999,0.0279999999999999,1.5999999999999943,10.9,2.6999999999999997,1.6999999999999993,0.02,-4.5,1.3000000000000007,0.0419999999999999
127,Iowa State,71.3,38.19999999999999,0.1009999999999999,-0.141,0.0979999999999999,10.200000000000005,5.600000000000001,8.3,5.500000000000001,0.1099999999999999,-11.4,10.200000000000005,0.0629999999999999
128,IUPUI,68.4,-12.699999999999989,0.0179999999999999,-0.0799999999999999,-0.0669999999999999,-3.4000000000000057,-14.700000000000005,1.700000000000001,-1.4000000000000004,-0.0889999999999999,-0.3000000000000007,-1.7999999999999972,0.033
129,Jackson State,71.6,-16.700000000000003,-0.077,-0.1129999999999999,-0.0879999999999999,-3.4000000000000057,-10.200000000000005,-1.200000000000001,0.1000000000000014,-0.09,1.0,-1.3000000000000007,-0.063
130,Jacksonville,72.3,2.299999999999997,0.003,-0.032,0.021,5.0,-8.900000000000006,1.5,1.5999999999999996,0.024,1.099999999999998,3.3999999999999986,0.004
131,Jacksonville State,67.3,15.0,-0.007,-0.035,0.054,10.0,1.5,0.1999999999999993,2.5,0.061,-0.6999999999999993,9.500000000000004,0.0
132,James Madison,74.5,25.8,-0.018,0.0559999999999999,0.0869999999999999,7.400000000000006,9.4,4.9,2.5,0.1039999999999999,-6.100000000000001,5.799999999999997,-0.017
133,Kansas,71.2,20.099999999999994,0.098,-0.092,0.121,8.200000000000003,26.3,0.9000000000000004,5.300000000000001,0.1189999999999999,0.200000000000001,2.299999999999997,0.0849999999999999
134,Kansas City,67.6,0.5999999999999943,-0.103,0.0429999999999999,-0.036,10.599999999999994,-1.7000000000000028,-1.6000000000000003,2.6,-0.021,-0.5,12.3,-0.0949999999999999
135,Kansas State,68.5,9.099999999999994,0.123,0.0299999999999999,0.029,8.200000000000003,11.1,-1.5,0.5,0.019,0.9000000000000004,8.299999999999997,0.089
136,Kennesaw State,78.0,9.5,-0.0729999999999999,0.101,0.026,-0.2000000000000028,7.899999999999999,1.5,-2.3000000000000007,0.043,-3.799999999999999,0.6999999999999993,-0.0619999999999999
137,Kent State,71.2,10.300000000000011,0.043,-0.06,0.0299999999999999,3.5999999999999943,-4.200000000000003,0.4000000000000003,1.5,0.008,-2.6999999999999997,3.1000000000000014,0.0749999999999999
138,Kentucky,74.2,23.5,-0.0229999999999999,-0.0479999999999999,0.0929999999999999,2.4000000000000057,3.5,4.8,9.3,0.1019999999999999,-5.4,0.0999999999999978,-0.0039999999999999
139,La Salle,67.6,6.5,-0.0289999999999999,0.0919999999999999,0.021,-4.200000000000003,4.199999999999996,4.300000000000001,0.6000000000000005,0.023,-3.1,-3.700000000000003,-0.012
140,Lafayette,67.5,-16.700000000000003,-0.09,0.0289999999999999,-0.076,-7.0,5.899999999999999,0.1000000000000014,4.9,-0.065,0.7000000000000028,-5.299999999999997,-0.083
141,Lamar,74.8,5.900000000000006,-0.0839999999999999,-0.077,0.003,6.400000000000006,-3.299999999999997,-0.2999999999999989,0.5999999999999996,0.008,-1.5,6.799999999999997,-0.0519999999999999
142,Le Moyne,71.6,0.2999999999999971,0.0,0.0309999999999999,-0.005,-12.200000000000005,2.1000000000000014,5.100000000000001,2.200000000000001,-0.009,-5.100000000000001,-11.4,0.0079999999999999
143,Lehigh,74.1,-0.3999999999999915,-0.0559999999999999,0.007,-0.017,-0.7999999999999972,3.699999999999996,1.0,-2.2,-0.01,-1.0000000000000018,0.5999999999999979,-0.044
144,Liberty,65.6,25.8,-0.06,0.1469999999999999,0.0899999999999999,7.799999999999997,19.9,-0.2999999999999989,-4.700000000000001,0.1169999999999999,-4.1,7.199999999999999,-0.064
145,Lindenwood,69.4,-6.399999999999992,-0.0339999999999999,-0.1109999999999999,-0.048,-4.0,-19.5,-0.8999999999999986,0.4000000000000003,-0.064,-1.1000000000000014,-2.1999999999999997,-0.006
146,Lipscomb,73.4,10.099999999999994,0.036,0.0429999999999999,0.0669999999999999,-1.4000000000000057,6.399999999999999,1.4999999999999991,-0.5999999999999996,0.068,-0.6999999999999993,-4.199999999999999,0.034
